iShares Russell 1000 ETF
Fund Holdings as of,"Sep 18, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"123,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BX","BLACKSTONE INC","Financials","Equity","60,057,860.03","0.20","60,057,860.03","525,119.00","114.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","57,005,525.64","0.19","57,005,525.64","432,253.00","131.88","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","56,987,303.10","0.19","56,987,303.10","1,314,586.00","43.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","56,979,590.25","0.19","56,979,590.25","803,095.00","70.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","56,813,271.00","0.19","56,813,271.00","805,862.00","70.50","United States","NASDAQ","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","56,064,513.00","0.18","56,064,513.00","1,057,821.00","53.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","55,260,321.26","0.18","55,260,321.26","392,446.00","140.81","United States","NASDAQ","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","55,182,423.18","0.18","55,182,423.18","208,574.00","264.57","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","54,531,058.95","0.18","54,531,058.95","264,009.00","206.55","United States","NASDAQ","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","54,236,636.40","0.18","54,236,636.40","447,497.00","121.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","54,009,164.72","0.18","54,009,164.72","568,757.00","94.96","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","53,277,889.77","0.18","53,277,889.77","222,093.00","239.89","United States","NASDAQ","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","53,058,535.97","0.17","53,058,535.97","223,207.00","237.71","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","52,863,358.47","0.17","52,863,358.47","68,701.00","769.47","United States","NASDAQ","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","52,216,408.68","0.17","52,216,408.68","829,622.00","62.94","United States","NASDAQ","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","51,453,498.53","0.17","51,453,498.53","111,853.00","460.01","United States","NASDAQ","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","50,522,372.76","0.17","50,522,372.76","148,893.00","339.32","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","49,905,280.64","0.16","49,905,280.64","49,905,281.00","1.00","United States","-","USD","1.00","USD","-"
"ATVI","ACTIVISION BLIZZARD INC","Communication","Equity","49,207,511.08","0.16","49,207,511.08","535,388.00","91.91","United States","NASDAQ","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","49,010,895.78","0.16","49,010,895.78","163,626.00","299.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","48,847,025.94","0.16","48,847,025.94","312,441.00","156.34","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
